trick: ['-225.29', '-223.88', '-23.79']
simulacrum: ['-91.06', '-55.03', '-386.61']
undead: ['-377.91', '-6.79', '-315.17']
chain: ['-2.57', '-922.57', '-367.74']
cure: ['-1.23', '-463.42', '-597.55']
mass: ['-2.86', '-357.93', '-819.04']
mental: ['-27.56', '-142.41', '-905.36']
magic: ['-64.40', '-167.09', '-124.92']
immolation: ['-653.78', '-2.25', '-387.18']
heal: ['-227.72', '-11.67', '-487.69']
water: ['-142.76', '-120.55', '-77.53']
blindness: ['-476.81', '-5.03', '-320.54']
bonfire: ['-893.58', '-5.12', '-300.09']
empowerment: ['-345.16', '-187.55', '-20.45']
divine: ['-41.37', '-128.32', '-278.59']
fall: ['-201.50', '-18.96', '-323.45']
speak: ['-22.79', '-169.07', '-394.36']
arrow(s: ['-165.70', '-108.84', '-74.96']
maze: ['-275.13', '-97.14', '-58.41']
divination: ['-627.86', '-57.10', '-83.66']
meld: ['-7.68', '-552.15', '-266.07']
motivational: ['-181.25', '-20.55', '-379.29']
plant(s: ['-165.70', '-108.84', '-74.96']
disk: ['-621.59', '-98.43', '-47.11']
darkness: ['-418.73', '-36.14', '-124.44']
swift: ['-2.48', '-937.64', '-371.39']
shift: ['-82.39', '-353.97', '-63.06']
legend: ['-254.87', '-29.01', '-175.10']
bark: ['-1161.49', '-5.86', '-286.67']
levitate: ['-254.47', '-36.65', '-147.67']
growth: ['-653.83', '-354.41', '-3.08']
regeneration: ['-241.62', '-27.31', '-189.87']
invulnerability: ['-850.46', '-19.49', '-173.23']
continuous: ['-0.40', '-820.48', '-560.22']
feign: ['-3.20', '-371.93', '-493.40']
prismatic: ['-9.76', '-265.36', '-379.15']
move: ['-37.40', '-138.17', '-279.90']
image: ['-1181.34', '-7.92', '-257.47']
word: ['-81.11', '-443.87', '-60.92']
tentacles: ['-148.54', '-42.06', '-214.61']
floating: ['-1.36', '-436.43', '-720.77']
programmed: ['-28.11', '-159.60', '-316.30']
servant: ['-505.05', '-3.94', '-343.52']
enlarge: ['-5.22', '-316.02', '-477.13']
spare: ['-0.77', '-487.28', '-1377.21']
celestial: ['-132.53', '-32.44', '-448.38']
tremor: ['-279.38', '-164.08', '-29.44']
silence: ['-335.56', '-14.23', '-232.57']
confusion: ['-731.51', '-0.08', '-938.07']
dance: ['-141.95', '-27.70', '-957.19']
heroism: ['-109.58', '-54.33', '-246.63']
lore: ['-148.32', '-180.68', '-49.61']
bless: ['-3.72', '-461.56', '-362.50']
curse: ['-495.32', '-117.50', '-37.96']
flock: ['-32.67', '-299.61', '-147.54']
symbol: ['-390.35', '-288.27', '-7.92']
blinding: ['-9.66', '-272.41', '-363.20']
lightning: ['-314.84', '-18.41', '-207.79']
scorching: ['-68.92', '-76.49', '-342.14']
feast: ['-303.47', '-270.98', '-12.18']
dimension: ['-328.04', '-95.37', '-54.98']
summons: ['-99.85', '-131.15', '-101.57']
recall: ['-150.78', '-55.56', '-158.53']
intellect: ['-133.66', '-58.35', '-171.85']
investiture: ['-20.05', '-418.01', '-179.33']
vivification: ['-165.70', '-108.84', '-74.96']
grove: ['-1011.60', '-105.02', '-43.06']
guidance: ['-159.97', '-22.73', '-659.61']
shock: ['-617.13', '-27.39', '-143.76']
ally: ['-601.74', '-265.68', '-7.54']
telepathic: ['-85.97', '-57.79', '-415.57']
binding: ['-73.39', '-340.11', '-72.02']
hail: ['-120.37', '-237.84', '-49.89']
transport: ['-38.57', '-215.66', '-158.80']
web: ['-485.11', '-0.97', '-630.58']
projection: ['-217.02', '-58.98', '-110.43']
antipathy: ['-249.72', '-36.35', '-150.32']
telepathy: ['-85.97', '-57.79', '-415.57']
flame: ['-686.25', '-1.54', '-425.05']
hallucinatory: ['-30.29', '-176.37', '-240.89']
fabricate: ['-5.36', '-297.40', '-680.81']
object: ['-916.14', '-0.68', '-500.39']
