castigation: ['1.33', '68.26', '30.40']
ordain: ['3.82', '11.79', '84.39']
hear: ['100.00', '0.00', '0.00']
humiliated: ['4.47', '94.53', '1.00']
gumption: ['0.86', '98.67', '0.47']
insulin: ['0.72', '96.90', '2.38']
dairy: ['72.41', '4.76', '22.83']
unclaimed: ['95.91', '0.52', '3.58']
glide: ['85.20', '11.38', '3.42']
most: ['100.00', '0.00', '0.00']
unliveable: ['90.78', '5.86', '3.37']
smallish: ['96.37', '3.63', '0.00']
upstand: ['0.03', '89.41', '10.56']
aristocratic: ['0.01', '99.98', '0.01']
queue: ['0.01', '13.23', '86.76']
average: ['0.01', '99.99', '0.00']
immobility: ['12.32', '80.25', '7.43']
